State,District,Crop,Year,Production,Rainfall_mm
Andhra Pradesh,District_1,Rice,2022,5200,1200
Andhra Pradesh,District_2,Wheat,2022,4300,1100
Andhra Pradesh,District_3,Maize,2022,5000,1150
Andhra Pradesh,District_4,Sugarcane,2022,4800,1250
Andhra Pradesh,District_5,Pulses,2022,4700,1180
Andhra Pradesh,District_1,Cotton,2022,5100,1220
Andhra Pradesh,District_2,Rice,2022,5300,1190
Andhra Pradesh,District_3,Wheat,2022,4500,1170
Andhra Pradesh,District_4,Maize,2022,4950,1210
Andhra Pradesh,District_5,Sugarcane,2022,5050,1230
Arunachal Pradesh,District_1,Rice,2022,4000,2000
Arunachal Pradesh,District_2,Wheat,2022,3900,1950
Arunachal Pradesh,District_3,Maize,2022,4200,1980
Arunachal Pradesh,District_4,Sugarcane,2022,4100,2020
Arunachal Pradesh,District_5,Pulses,2022,4300,1990
Arunachal Pradesh,District_1,Cotton,2022,3950,1960
Arunachal Pradesh,District_2,Rice,2022,4050,2005
Arunachal Pradesh,District_3,Wheat,2022,4000,1975
Arunachal Pradesh,District_4,Maize,2022,4150,1995
Arunachal Pradesh,District_5,Sugarcane,2022,4250,2010
Assam,District_1,Rice,2022,5000,1800
Assam,District_2,Wheat,2022,4800,1750
Assam,District_3,Maize,2022,4900,1780
Assam,District_4,Sugarcane,2022,4950,1760
Assam,District_5,Pulses,2022,4850,1790
Assam,District_1,Cotton,2022,4700,1805
Assam,District_2,Rice,2022,5000,1820
Assam,District_3,Wheat,2022,4750,1775
Assam,District_4,Maize,2022,4850,1795
Assam,District_5,Sugarcane,2022,4900,1810
Bihar,District_1,Rice,2022,5200,950
Bihar,District_2,Wheat,2022,5000,980
Bihar,District_3,Maize,2022,5100,970
Bihar,District_4,Sugarcane,2022,5050,960
Bihar,District_5,Pulses,2022,4950,945
Bihar,District_1,Cotton,2022,4850,955
Bihar,District_2,Rice,2022,5000,960
Bihar,District_3,Wheat,2022,5050,970
Bihar,District_4,Maize,2022,4950,950
Bihar,District_5,Sugarcane,2022,5000,965
